captured_on,window_days,archetype,meta_pct,deck_count
2026-08-14,14,Goryo's Vengeance,9.9,84
2026-08-14,14,Boros Energy,7.2,61
2026-08-14,14,Esper Blink,7.0,59
2026-08-14,14,Devoted Combo,6.0,51
2026-08-14,14,Eldrazi,4.8,41
2026-08-14,14,Dimir Midrange,4.7,40
2026-08-14,14,Affinity,4.6,39
2026-08-14,14,Mono-Green Eldrazi,4.0,34
2026-08-14,14,Ruby Storm,4.0,34
2026-08-14,14,Living End,3.8,32
2026-08-14,14,Izzet Prowess,3.4,29
2026-08-14,14,Neobrand,2.9,25
2026-08-14,14,Grixis Reanimator,2.8,24
2026-08-14,14,Domain Zoo,2.8,24
2026-08-14,14,Gruul Basking Broodscale Combo,2.7,23
2026-08-14,14,Amulet Titan,2.1,18
2026-08-14,14,Eldrazi Tron,2.1,18
2026-08-14,14,Eldrazi Ramp,1.9,16
2026-08-14,14,Temur Prowess,1.8,15
2026-08-14,14,Boros Ponza,1.5,13
2026-08-14,14,Belcher,1.5,13
2026-08-14,14,Azorius Energy,1.4,12
2026-08-14,14,Yawgmoth,1.4,12
2026-08-14,14,Jeskai Energy,1.2,10
2026-08-14,14,4c HollowOne,1.1,9
2026-08-14,14,Rakdos HollowOne,0.9,8
2026-08-14,14,Mono-Black Midrange,0.9,8
2026-08-14,14,Grixis Prowess,0.8,7
