start,end,lists,kind,zone,card,text
2026-05-18,2026-05-31,33,return,main,Abhorrent Oculus,"Abhorrent Oculus returns after 14 weeks away, 2 of 33 lists (6%)"
2026-05-18,2026-05-31,33,return,side,"Boromir, Warden of the Tower","Boromir, Warden of the Tower appears for the first time, 5 of 33 lists (15%)"
2026-05-18,2026-05-31,33,return,side,Chalice of the Void,"Chalice of the Void appears for the first time, 8 of 33 lists (24%)"
2026-05-18,2026-05-31,33,return,main,Consign to Memory,"Consign to Memory moves to the mainboard, 12 of 33 lists (36%)"
2026-05-18,2026-05-31,33,return,side,Drannith Magistrate,"Drannith Magistrate appears for the first time, 3 of 33 lists (9%)"
2026-05-18,2026-05-31,33,return,side,End of the Hunt,"End of the Hunt appears for the first time, 5 of 33 lists (15%)"
2026-05-18,2026-05-31,33,return,main,Graveyard Trespasser,"Graveyard Trespasser appears for the first time, 2 of 33 lists (6%)"
2026-05-18,2026-05-31,33,return,main,"Kavaero, Mind-Bitten","Kavaero, Mind-Bitten appears for the first time, 8 of 33 lists (24%)"
2026-05-18,2026-05-31,33,return,side,Nihil Spellbomb,"Nihil Spellbomb returns after 8 weeks away, 4 of 33 lists (12%)"
2026-05-18,2026-05-31,33,return,main,Northampton Farm,"Northampton Farm appears for the first time, 2 of 33 lists (6%)"
2026-06-01,2026-06-14,59,return,side,Cling to Dust,"Cling to Dust appears for the first time, 4 of 59 lists (7%)"
2026-06-01,2026-06-14,59,return,side,Deafening Silence,"Deafening Silence returns after 10 weeks away, 4 of 59 lists (7%)"
2026-06-01,2026-06-14,59,adoption,side,Drannith Magistrate,"Drannith Magistrate climbed in the sideboard, 3/33 to 18/59 lists (9% to 31%)"
2026-06-01,2026-06-14,59,return,main,Emeritus of Ideation,"Emeritus of Ideation appears for the first time, 4 of 59 lists (7%)"
2026-06-01,2026-06-14,59,adoption,side,Nihil Spellbomb,"Nihil Spellbomb climbed in the sideboard, 4/33 to 25/59 lists (12% to 42%)"
2026-06-01,2026-06-14,59,return,main,Wrath of the Skies,"Wrath of the Skies moves to the mainboard, 15 of 59 lists (25%)"
2026-06-01,2026-06-14,59,adoption,side,Wrath of the Skies,"Wrath of the Skies fell in the sideboard, 33/33 to 44/59 lists (100% to 75%)"
