week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,20,10,352,0.028409090909090908,3,88,0.03409090909090909,6,10,482,0.02074688796680498
2026-05-25,13,8,352,0.022727272727272728,1,88,0.011363636363636364,5,5,479,0.010438413361169102
2026-06-01,32,16,384,0.041666666666666664,5,96,0.052083333333333336,7,16,511,0.03131115459882583
2026-06-08,27,10,384,0.026041666666666668,2,96,0.020833333333333332,3,17,484,0.03512396694214876
2026-06-15,20,10,352,0.028409090909090908,3,88,0.03409090909090909,6,10,462,0.021645021645021644
2026-06-22,17,8,384,0.020833333333333332,1,96,0.010416666666666666,2,9,393,0.022900763358778626
2026-06-29,18,6,352,0.017045454545454544,1,88,0.011363636363636364,5,12,428,0.028037383177570093
2026-07-06,9,2,416,0.004807692307692308,0,104,0.0,2,7,418,0.01674641148325359
2026-07-13,9,4,448,0.008928571428571428,1,112,0.008928571428571428,2,5,410,0.012195121951219513
2026-07-20,12,8,512,0.015625,0,128,0.0,3,4,393,0.010178117048346057
2026-07-27,9,6,384,0.015625,3,96,0.03125,5,3,439,0.00683371298405467
2026-08-03,19,10,352,0.028409090909090908,2,88,0.022727272727272728,7,9,380,0.02368421052631579
2026-08-10,50,27,416,0.06490384615384616,8,104,0.07692307692307693,18,23,404,0.05693069306930693
2026-08-17,62,33,384,0.0859375,10,96,0.10416666666666667,21,29,340,0.08529411764705883
2026-08-24,64,36,480,0.075,12,120,0.1,22,28,348,0.08045977011494253
2026-08-31,69,43,448,0.09598214285714286,17,112,0.15178571428571427,26,26,378,0.06878306878306878
