start,end,lists,kind,zone,card,text
2026-05-18,2026-05-31,21,return,side,Drannith Magistrate,"Drannith Magistrate appears for the first time, 3 of 21 lists (14%)"
2026-05-18,2026-05-31,21,return,main,Preordain,"Preordain returns after 10 weeks away, 3 of 21 lists (14%)"
2026-05-18,2026-05-31,21,return,side,Supreme Verdict,"Supreme Verdict returns after 8 weeks away, 5 of 21 lists (24%)"
2026-06-01,2026-06-14,65,adoption,main,Consign to Memory,"Consign to Memory climbed in the mainboard, 6/21 to 39/65 lists (29% to 60%)"
2026-06-01,2026-06-14,65,adoption,side,Consign to Memory,"Consign to Memory fell in the sideboard, 14/21 to 26/65 lists (67% to 40%)"
2026-06-01,2026-06-14,65,return,side,Engineered Explosives,"Engineered Explosives appears for the first time, 4 of 65 lists (6%)"
2026-06-01,2026-06-14,65,return,main,"Jace, Vryn's Prodigy","Jace, Vryn's Prodigy returns after 6 weeks away, 2 of 65 lists (3%)"
2026-06-01,2026-06-14,65,adoption,main,March of Otherworldly Light,"March of Otherworldly Light climbed in the mainboard, 5/21 to 41/65 lists (24% to 63%)"
2026-06-01,2026-06-14,65,adoption,side,Nihil Spellbomb,"Nihil Spellbomb climbed in the sideboard, 12/21 to 52/65 lists (57% to 80%)"
2026-06-01,2026-06-14,65,adoption,main,Pest Control,"Pest Control climbed in the mainboard, 1/21 to 19/65 lists (5% to 29%)"
2026-06-01,2026-06-14,65,adoption,side,Pest Control,"Pest Control fell in the sideboard, 13/21 to 23/65 lists (62% to 35%)"
2026-06-01,2026-06-14,65,adoption,side,Spell Snare,"Spell Snare climbed in the sideboard, 1/21 to 17/65 lists (5% to 26%)"
2026-06-01,2026-06-14,65,adoption,side,Surgical Extraction,"Surgical Extraction climbed in the sideboard, 8/21 to 46/65 lists (38% to 71%)"
2026-06-01,2026-06-14,65,manabase,main,21 lands,"21 lands fell, 17/21 to 33/65 lists (81% to 51%)"
2026-06-01,2026-06-14,65,manabase,main,22 lands,"22 lands climbed, 3/21 to 25/65 lists (14% to 38%)"
2026-06-15,2026-06-28,61,adoption,side,Celestial Purge,"Celestial Purge climbed in the sideboard, 5/65 to 19/61 lists (8% to 31%)"
2026-06-15,2026-06-28,61,adoption,main,Consign to Memory,"Consign to Memory fell in the mainboard, 39/65 to 15/61 lists (60% to 25%)"
2026-06-15,2026-06-28,61,adoption,side,Consign to Memory,"Consign to Memory climbed in the sideboard, 26/65 to 46/61 lists (40% to 75%)"
2026-06-15,2026-06-28,61,adoption,main,"Kavaero, Mind-Bitten","Kavaero, Mind-Bitten climbed in the mainboard, 19/65 to 40/61 lists (29% to 66%)"
2026-06-15,2026-06-28,61,adoption,side,Pest Control,"Pest Control fell in the sideboard, 23/65 to 8/61 lists (35% to 13%)"
2026-06-15,2026-06-28,61,manabase,main,21 lands,"21 lands climbed, 33/65 to 45/61 lists (51% to 74%)"
2026-06-15,2026-06-28,61,manabase,main,22 lands,"22 lands fell, 25/65 to 11/61 lists (38% to 18%)"
2026-06-29,2026-07-12,77,adoption,main,Consign to Memory,"Consign to Memory climbed in the mainboard, 15/61 to 41/77 lists (25% to 53%)"
2026-06-29,2026-07-12,77,adoption,side,Consign to Memory,"Consign to Memory fell in the sideboard, 46/61 to 36/77 lists (75% to 47%)"
2026-06-29,2026-07-12,77,adoption,side,Fatal Push,"Fatal Push climbed in the sideboard, 6/61 to 23/77 lists (10% to 30%)"
2026-06-29,2026-07-12,77,adoption,main,"Kavaero, Mind-Bitten","Kavaero, Mind-Bitten fell in the mainboard, 40/61 to 28/77 lists (66% to 36%)"
2026-06-29,2026-07-12,77,return,side,Relic of Progenitus,"Relic of Progenitus appears for the first time, 5 of 77 lists (6%)"
2026-06-29,2026-07-12,77,copies,main,Faithful Mending,"Faithful Mending at 4 copies fell, 34/61 to 35/77 lists (56% to 45%)"
2026-07-13,2026-07-26,68,return,main,Archon of Cruelty,"Archon of Cruelty appears for the first time, 2 of 68 lists (3%)"
2026-07-13,2026-07-26,68,adoption,main,Consign to Memory,"Consign to Memory fell in the mainboard, 41/77 to 13/68 lists (53% to 19%)"
2026-07-13,2026-07-26,68,adoption,side,Consign to Memory,"Consign to Memory climbed in the sideboard, 36/77 to 55/68 lists (47% to 81%)"
2026-07-13,2026-07-26,68,return,main,Dina's Guidance,"Dina's Guidance appears for the first time, 2 of 68 lists (3%)"
2026-07-13,2026-07-26,68,return,main,Emeritus of Ideation,"Emeritus of Ideation appears for the first time, 2 of 68 lists (3%)"
2026-07-13,2026-07-26,68,adoption,side,Fatal Push,"Fatal Push fell in the sideboard, 23/77 to 6/68 lists (30% to 9%)"
2026-07-13,2026-07-26,68,adoption,main,"Kavaero, Mind-Bitten","Kavaero, Mind-Bitten climbed in the mainboard, 28/77 to 40/68 lists (36% to 59%)"
2026-07-13,2026-07-26,68,return,main,Persist,"Persist appears for the first time, 2 of 68 lists (3%)"
2026-07-13,2026-07-26,68,return,side,Strix Serenade,"Strix Serenade returns after 10 weeks away, 5 of 68 lists (7%)"
2026-07-13,2026-07-26,68,adoption,main,"Teferi, Time Raveler","Teferi, Time Raveler fell in the mainboard, 37/77 to 10/68 lists (48% to 15%)"
2026-07-13,2026-07-26,68,return,side,Vexing Bauble,"Vexing Bauble returns after 8 weeks away, 11 of 68 lists (16%)"
2026-07-13,2026-07-26,68,adoption,main,Winternight Stories,"Winternight Stories fell in the mainboard, 26/77 to 7/68 lists (34% to 10%)"
2026-07-13,2026-07-26,68,copies,main,Faithful Mending,"Faithful Mending at 3 copies fell, 40/77 to 28/68 lists (52% to 41%)"
2026-07-27,2026-08-09,72,adoption,side,Celestial Purge,"Celestial Purge climbed in the sideboard, 14/68 to 33/72 lists (21% to 46%)"
2026-07-27,2026-08-09,72,adoption,main,Consign to Memory,"Consign to Memory climbed in the mainboard, 13/68 to 38/72 lists (19% to 53%)"
2026-07-27,2026-08-09,72,adoption,side,Consign to Memory,"Consign to Memory fell in the sideboard, 55/68 to 34/72 lists (81% to 47%)"
2026-07-27,2026-08-09,72,adoption,main,"Kavaero, Mind-Bitten","Kavaero, Mind-Bitten fell in the mainboard, 40/68 to 23/72 lists (59% to 32%)"
2026-07-27,2026-08-09,72,adoption,main,March of Otherworldly Light,"March of Otherworldly Light fell in the mainboard, 46/68 to 34/72 lists (68% to 47%)"
2026-07-27,2026-08-09,72,adoption,side,March of Otherworldly Light,"March of Otherworldly Light climbed in the sideboard, 3/68 to 30/72 lists (4% to 42%)"
2026-07-27,2026-08-09,72,adoption,main,"Teferi, Time Raveler","Teferi, Time Raveler climbed in the mainboard, 10/68 to 35/72 lists (15% to 49%)"
2026-07-27,2026-08-09,72,adoption,side,"Teferi, Time Raveler","Teferi, Time Raveler fell in the sideboard, 41/68 to 29/72 lists (60% to 40%)"
2026-07-27,2026-08-09,72,copies,main,Prismatic Ending,"Prismatic Ending at 2 copies climbed, 47/68 to 59/72 lists (69% to 82%)"
2026-07-27,2026-08-09,72,copies,main,Prismatic Ending,"Prismatic Ending at 3 copies fell, 19/68 to 11/72 lists (28% to 15%)"
2026-07-27,2026-08-09,72,manabase,main,21 lands,"21 lands fell, 42/68 to 30/72 lists (62% to 42%)"
2026-07-27,2026-08-09,72,manabase,main,22 lands,"22 lands climbed, 21/68 to 40/72 lists (31% to 56%)"
2026-08-10,2026-08-23,72,adoption,side,Celestial Purge,"Celestial Purge fell in the sideboard, 33/72 to 13/72 lists (46% to 18%)"
2026-08-10,2026-08-23,72,adoption,side,Clarion Conqueror,"Clarion Conqueror climbed in the sideboard, 2/72 to 37/72 lists (3% to 51%)"
2026-08-10,2026-08-23,72,adoption,side,Fatal Push,"Fatal Push climbed in the sideboard, 5/72 to 28/72 lists (7% to 39%)"
2026-08-10,2026-08-23,72,adoption,side,Spell Snare,"Spell Snare fell in the sideboard, 36/72 to 16/72 lists (50% to 22%)"
2026-08-10,2026-08-23,72,adoption,side,Surgical Extraction,"Surgical Extraction fell in the sideboard, 52/72 to 27/72 lists (72% to 38%)"
2026-08-10,2026-08-23,72,copies,main,Faithful Mending,"Faithful Mending at 4 copies climbed, 42/72 to 54/72 lists (58% to 75%)"
2026-08-24,2026-09-06,87,adoption,main,Consign to Memory,"Consign to Memory fell in the mainboard, 33/72 to 13/87 lists (46% to 15%)"
2026-08-24,2026-09-06,87,adoption,side,Consign to Memory,"Consign to Memory climbed in the sideboard, 38/72 to 74/87 lists (53% to 85%)"
2026-08-24,2026-09-06,87,adoption,side,Fatal Push,"Fatal Push fell in the sideboard, 28/72 to 10/87 lists (39% to 11%)"
2026-08-24,2026-09-06,87,adoption,main,March of Otherworldly Light,"March of Otherworldly Light climbed in the mainboard, 40/72 to 70/87 lists (56% to 80%)"
2026-08-24,2026-09-06,87,adoption,side,Spell Snare,"Spell Snare climbed in the sideboard, 16/72 to 63/87 lists (22% to 72%)"
2026-08-24,2026-09-06,87,adoption,main,Breeding Pool,"Breeding Pool fell in the mainboard, 57/72 to 60/87 lists (79% to 69%)"
2026-08-24,2026-09-06,87,adoption,main,Hedge Maze,"Hedge Maze climbed in the mainboard, 8/72 to 26/87 lists (11% to 30%)"
2026-08-24,2026-09-06,87,event,,,Spotlight Brisbane
2026-08-24,2026-09-06,87,event,,,Spotlight Dallas
