week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,17,9,352,0.02556818181818182,2,88,0.022727272727272728,4,8,482,0.016597510373443983
2026-05-25,17,9,352,0.02556818181818182,3,88,0.03409090909090909,8,8,479,0.016701461377870562
2026-06-01,26,17,384,0.044270833333333336,7,96,0.07291666666666667,11,9,511,0.01761252446183953
2026-06-08,53,27,384,0.0703125,6,96,0.0625,10,26,484,0.05371900826446281
2026-06-15,45,19,352,0.05397727272727273,4,88,0.045454545454545456,7,26,462,0.05627705627705628
2026-06-22,44,24,384,0.0625,4,96,0.041666666666666664,10,20,393,0.05089058524173028
2026-06-29,51,28,352,0.07954545454545454,2,88,0.022727272727272728,9,23,428,0.053738317757009345
2026-07-06,47,21,416,0.05048076923076923,7,104,0.0673076923076923,11,26,418,0.06220095693779904
2026-07-13,56,31,448,0.06919642857142858,7,112,0.0625,16,25,410,0.06097560975609756
2026-07-20,67,39,512,0.076171875,9,128,0.0703125,22,28,393,0.07124681933842239
2026-07-27,68,39,384,0.1015625,12,96,0.125,18,29,439,0.06605922551252848
2026-08-03,52,34,352,0.09659090909090909,9,88,0.10227272727272728,14,18,380,0.04736842105263158
2026-08-10,63,40,416,0.09615384615384616,9,104,0.08653846153846154,19,23,404,0.05693069306930693
2026-08-17,62,40,384,0.10416666666666667,17,96,0.17708333333333334,24,22,340,0.06470588235294118
2026-08-24,54,35,480,0.07291666666666667,11,120,0.09166666666666666,17,19,348,0.05459770114942529
2026-08-31,67,40,448,0.08928571428571429,7,112,0.0625,15,27,378,0.07142857142857142
